State,Year,Winning Party,Flip,President,President Party,Winning Party D,Winning Party O,Winning Party R
Kentucky,1828,D,0,Andrew Jackson,D,1,0,0
Louisiana,1828,D,0,Andrew Jackson,D,1,0,0
Maine,1828,O,0,Andrew Jackson,D,0,1,0
Maryland,1828,O,0,Andrew Jackson,D,0,1,0
Massachusetts,1828,O,0,Andrew Jackson,D,0,1,0
Michigan,1828,,0,Andrew Jackson,D,0,0,0
Minnesota,1828,,0,Andrew Jackson,D,0,0,0
Mississippi,1828,D,0,Andrew Jackson,D,1,0,0
Missouri,1828,D,0,Andrew Jackson,D,1,0,0
Montana,1828,,0,Andrew Jackson,D,0,0,0
Nebraska,1828,,0,Andrew Jackson,D,0,0,0
Nevada,1828,,0,Andrew Jackson,D,0,0,0
New Hampshire,1828,O,0,Andrew Jackson,D,0,1,0
New Jersey,1828,O,0,Andrew Jackson,D,0,1,0
New Mexico,1828,,0,Andrew Jackson,D,0,0,0
New York,1828,D,0,Andrew Jackson,D,1,0,0
North Carolina,1828,D,0,Andrew Jackson,D,1,0,0
North Dakota,1828,,0,Andrew Jackson,D,0,0,0
Ohio,1828,D,0,Andrew Jackson,D,1,0,0
Oklahoma,1828,,0,Andrew Jackson,D,0,0,0
Oregon,1828,,0,Andrew Jackson,D,0,0,0
Pennsylvania,1828,D,0,Andrew Jackson,D,1,0,0
Rhode Island,1828,O,0,Andrew Jackson,D,0,1,0
South Carolina,1828,D,0,Andrew Jackson,D,1,0,0
South Dakota,1828,,0,Andrew Jackson,D,0,0,0
Tennessee,1828,D,0,Andrew Jackson,D,1,0,0
Texas,1828,,0,Andrew Jackson,D,0,0,0
Utah,1828,,0,Andrew Jackson,D,0,0,0
Vermont,1828,O,0,Andrew Jackson,D,0,1,0
Virginia,1828,D,0,Andrew Jackson,D,1,0,0
Washington,1828,,0,Andrew Jackson,D,0,0,0
West Virginia,1828,,0,Andrew Jackson,D,0,0,0
Wisconsin,1828,,0,Andrew Jackson,D,0,0,0
Wyoming,1828,,0,Andrew Jackson,D,0,0,0
Alabama,1832,D,0,Andrew Jackson,D,1,0,0
Alaska,1832,,0,Andrew Jackson,D,0,0,0
Arizona,1832,,0,Andrew Jackson,D,0,0,0
Arkansas,1832,,0,Andrew Jackson,D,0,0,0
California,1832,,0,Andrew Jackson,D,0,0,0
Colorado,1832,,0,Andrew Jackson,D,0,0,0
Connecticut,1832,O,0,Andrew Jackson,D,0,1,0
D.C.,1832,,0,Andrew Jackson,D,0,0,0
Delaware,1832,O,0,Andrew Jackson,D,0,1,0
Florida,1832,,0,Andrew Jackson,D,0,0,0
Georgia,1832,D,0,Andrew Jackson,D,1,0,0
Hawaii,1832,,0,Andrew Jackson,D,0,0,0
Idaho,1832,,0,Andrew Jackson,D,0,0,0
Illinois,1832,D,0,Andrew Jackson,D,1,0,0
Indiana,1832,D,0,Andrew Jackson,D,1,0,0
Iowa,1832,,0,Andrew Jackson,D,0,0,0
Kansas,1832,,0,Andrew Jackson,D,0,0,0
Kentucky,1832,O,0,Andrew Jackson,D,0,1,0
Louisiana,1832,D,0,Andrew Jackson,D,1,0,0
Maine,1832,D,0,Andrew Jackson,D,1,0,0
Maryland,1832,O,0,Andrew Jackson,D,0,1,0
Massachusetts,1832,O,0,Andrew Jackson,D,0,1,0
Michigan,1832,,0,Andrew Jackson,D,0,0,0
Minnesota,1832,,0,Andrew Jackson,D,0,0,0
Mississippi,1832,D,0,Andrew Jackson,D,1,0,0
Missouri,1832,D,0,Andrew Jackson,D,1,0,0
Montana,1832,,0,Andrew Jackson,D,0,0,0
Nebraska,1832,,0,Andrew Jackson,D,0,0,0
Nevada,1832,,0,Andrew Jackson,D,0,0,0
New Hampshire,1832,D,0,Andrew Jackson,D,1,0,0
New Jersey,1832,D,0,Andrew Jackson,D,1,0,0
New Mexico,1832,,0,Andrew Jackson,D,0,0,0
New York,1832,D,0,Andrew Jackson,D,1,0,0
North Carolina,1832,D,0,Andrew Jackson,D,1,0,0
North Dakota,1832,,0,Andrew Jackson,D,0,0,0
Ohio,1832,D,0,Andrew Jackson,D,1,0,0
Oklahoma,1832,,0,Andrew Jackson,D,0,0,0
Oregon,1832,,0,Andrew Jackson,D,0,0,0
Pennsylvania,1832,D,0,Andrew Jackson,D,1,0,0
Rhode Island,1832,O,0,Andrew Jackson,D,0,1,0
South Carolina,1832,O,0,Andrew Jackson,D,0,1,0
South Dakota,1832,,0,Andrew Jackson,D,0,0,0
Tennessee,1832,D,0,Andrew Jackson,D,1,0,0
Texas,1832,,0,Andrew Jackson,D,0,0,0
Utah,1832,,0,Andrew Jackson,D,0,0,0
Vermont,1832,O,0,Andrew Jackson,D,0,1,0
Virginia,1832,D,0,Andrew Jackson,D,1,0,0
Washington,1832,,0,Andrew Jackson,D,0,0,0
West Virginia,1832,,0,Andrew Jackson,D,0,0,0
Wisconsin,1832,,0,Andrew Jackson,D,0,0,0
Wyoming,1832,,0,Andrew Jackson,D,0,0,0
Alabama,1836,D,0,Martin Van Buren,D,1,0,0
Alaska,1836,,0,Martin Van Buren,D,0,0,0
Arizona,1836,,0,Martin Van Buren,D,0,0,0
Arkansas,1836,D,0,Martin Van Buren,D,1,0,0
California,1836,,0,Martin Van Buren,D,0,0,0
Colorado,1836,,0,Martin Van Buren,D,0,0,0
Connecticut,1836,D,0,Martin Van Buren,D,1,0,0
D.C.,1836,,0,Martin Van Buren,D,0,0,0
Delaware,1836,O,0,Martin Van Buren,D,0,1,0
Florida,1836,,0,Martin Van Buren,D,0,0,0
Georgia,1836,O,0,Martin Van Buren,D,0,1,0
Hawaii,1836,,0,Martin Van Buren,D,0,0,0
Idaho,1836,,0,Martin Van Buren,D,0,0,0
Illinois,1836,D,0,Martin Van Buren,D,1,0,0
Indiana,1836,O,0,Martin Van Buren,D,0,1,0
Iowa,1836,,0,Martin Van Buren,D,0,0,0
Kansas,1836,,0,Martin Van Buren,D,0,0,0
Kentucky,1836,O,0,Martin Van Buren,D,0,1,0
Louisiana,1836,D,0,Martin Van Buren,D,1,0,0
Maine,1836,D,0,Martin Van Buren,D,1,0,0
Maryland,1836,O,0,Martin Van Buren,D,0,1,0
Massachusetts,1836,O,0,Martin Van Buren,D,0,1,0
Michigan,1836,D,0,Martin Van Buren,D,1,0,0
Minnesota,1836,,0,Martin Van Buren,D,0,0,0
Mississippi,1836,D,0,Martin Van Buren,D,1,0,0
Missouri,1836,D,0,Martin Van Buren,D,1,0,0
Montana,1836,,0,Martin Van Buren,D,0,0,0
Nebraska,1836,,0,Martin Van Buren,D,0,0,0
Nevada,1836,,0,Martin Van Buren,D,0,0,0
New Hampshire,1836,D,0,Martin Van Buren,D,1,0,0
New Jersey,1836,O,0,Martin Van Buren,D,0,1,0
New Mexico,1836,,0,Martin Van Buren,D,0,0,0
New York,1836,D,0,Martin Van Buren,D,1,0,0
North Carolina,1836,D,0,Martin Van Buren,D,1,0,0
North Dakota,1836,,0,Martin Van Buren,D,0,0,0
Ohio,1836,O,0,Martin Van Buren,D,0,1,0
Oklahoma,1836,,0,Martin Van Buren,D,0,0,0
Oregon,1836,,0,Martin Van Buren,D,0,0,0
Pennsylvania,1836,D,0,Martin Van Buren,D,1,0,0
Rhode Island,1836,D,0,Martin Van Buren,D,1,0,0
South Carolina,1836,O,0,Martin Van Buren,D,0,1,0
South Dakota,1836,,0,Martin Van Buren,D,0,0,0
Tennessee,1836,O,0,Martin Van Buren,D,0,1,0
Texas,1836,,0,Martin Van Buren,D,0,0,0
Utah,1836,,0,Martin Van Buren,D,0,0,0
Vermont,1836,O,0,Martin Van Buren,D,0,1,0
Virginia,1836,D,0,Martin Van Buren,D,1,0,0
Washington,1836,,0,Martin Van Buren,D,0,0,0
West Virginia,1836,,0,Martin Van Buren,D,0,0,0
Wisconsin,1836,,0,Martin Van Buren,D,0,0,0
Wyoming,1836,,0,Martin Van Buren,D,0,0,0
Alabama,1840,D,0,William Henry Harrison,O,1,0,0
Alaska,1840,,0,William Henry Harrison,O,0,0,0
Arizona,1840,,0,William Henry Harrison,O,0,0,0
Arkansas,1840,D,0,William Henry Harrison,O,1,0,0
California,1840,,0,William Henry Harrison,O,0,0,0
Colorado,1840,,0,William Henry Harrison,O,0,0,0
Connecticut,1840,O,0,William Henry Harrison,O,0,1,0
D.C.,1840,,0,William Henry Harrison,O,0,0,0
Delaware,1840,O,0,William Henry Harrison,O,0,1,0
Florida,1840,,0,William Henry Harrison,O,0,0,0
Georgia,1840,O,0,William Henry Harrison,O,0,1,0
Hawaii,1840,,0,William Henry Harrison,O,0,0,0
Idaho,1840,,0,William Henry Harrison,O,0,0,0
Illinois,1840,D,0,William Henry Harrison,O,1,0,0
Indiana,1840,O,0,William Henry Harrison,O,0,1,0
Iowa,1840,,0,William Henry Harrison,O,0,0,0
Kansas,1840,,0,William Henry Harrison,O,0,0,0
Kentucky,1840,O,0,William Henry Harrison,O,0,1,0
Louisiana,1840,O,0,William Henry Harrison,O,0,1,0
Maine,1840,O,0,William Henry Harrison,O,0,1,0
Maryland,1840,O,0,William Henry Harrison,O,0,1,0
Massachusetts,1840,O,0,William Henry Harrison,O,0,1,0
Michigan,1840,O,0,William Henry Harrison,O,0,1,0
Minnesota,1840,,0,William Henry Harrison,O,0,0,0
Mississippi,1840,O,0,William Henry Harrison,O,0,1,0
Missouri,1840,D,0,William Henry Harrison,O,1,0,0
Montana,1840,,0,William Henry Harrison,O,0,0,0
Nebraska,1840,,0,William Henry Harrison,O,0,0,0
Nevada,1840,,0,William Henry Harrison,O,0,0,0
New Hampshire,1840,D,0,William Henry Harrison,O,1,0,0
New Jersey,1840,O,0,William Henry Harrison,O,0,1,0
New Mexico,1840,,0,William Henry Harrison,O,0,0,0
New York,1840,O,0,William Henry Harrison,O,0,1,0
North Carolina,1840,O,0,William Henry Harrison,O,0,1,0
North Dakota,1840,,0,William Henry Harrison,O,0,0,0
Ohio,1840,O,0,William Henry Harrison,O,0,1,0
Oklahoma,1840,,0,William Henry Harrison,O,0,0,0
Oregon,1840,,0,William Henry Harrison,O,0,0,0
Pennsylvania,1840,O,0,William Henry Harrison,O,0,1,0
Rhode Island,1840,O,0,William Henry Harrison,O,0,1,0
South Carolina,1840,D,0,William Henry Harrison,O,1,0,0
South Dakota,1840,,0,William Henry Harrison,O,0,0,0
Tennessee,1840,O,0,William Henry Harrison,O,0,1,0
Texas,1840,,0,William Henry Harrison,O,0,0,0
Utah,1840,,0,William Henry Harrison,O,0,0,0
Vermont,1840,O,0,William Henry Harrison,O,0,1,0
Virginia,1840,D,0,William Henry Harrison,O,1,0,0
Washington,1840,,0,William Henry Harrison,O,0,0,0
West Virginia,1840,,0,William Henry Harrison,O,0,0,0
Wisconsin,1840,,0,William Henry Harrison,O,0,0,0
Wyoming,1840,,0,William Henry Harrison,O,0,0,0
Alabama,1844,D,0,James Polk,D,1,0,0
Alaska,1844,,0,James Polk,D,0,0,0
Arizona,1844,,0,James Polk,D,0,0,0
Arkansas,1844,D,0,James Polk,D,1,0,0
California,1844,,0,James Polk,D,0,0,0
Colorado,1844,,0,James Polk,D,0,0,0
Connecticut,1844,O,0,James Polk,D,0,1,0
D.C.,1844,,0,James Polk,D,0,0,0
Delaware,1844,O,0,James Polk,D,0,1,0
Florida,1844,,0,James Polk,D,0,0,0
Georgia,1844,D,0,James Polk,D,1,0,0
Hawaii,1844,,0,James Polk,D,0,0,0
Idaho,1844,,0,James Polk,D,0,0,0
Illinois,1844,D,0,James Polk,D,1,0,0
Indiana,1844,D,0,James Polk,D,1,0,0
Iowa,1844,,0,James Polk,D,0,0,0
Kansas,1844,,0,James Polk,D,0,0,0
Kentucky,1844,O,0,James Polk,D,0,1,0
Louisiana,1844,D,0,James Polk,D,1,0,0
Maine,1844,D,0,James Polk,D,1,0,0
Maryland,1844,O,0,James Polk,D,0,1,0
Massachusetts,1844,O,0,James Polk,D,0,1,0
Michigan,1844,D,0,James Polk,D,1,0,0
Minnesota,1844,,0,James Polk,D,0,0,0
Mississippi,1844,D,0,James Polk,D,1,0,0
Missouri,1844,D,0,James Polk,D,1,0,0
Montana,1844,,0,James Polk,D,0,0,0
Nebraska,1844,,0,James Polk,D,0,0,0
Nevada,1844,,0,James Polk,D,0,0,0
New Hampshire,1844,D,0,James Polk,D,1,0,0
New Jersey,1844,O,0,James Polk,D,0,1,0
New Mexico,1844,,0,James Polk,D,0,0,0
New York,1844,D,0,James Polk,D,1,0,0
North Carolina,1844,O,0,James Polk,D,0,1,0
North Dakota,1844,,0,James Polk,D,0,0,0
Ohio,1844,O,0,James Polk,D,0,1,0
Oklahoma,1844,,0,James Polk,D,0,0,0
Oregon,1844,,0,James Polk,D,0,0,0
Pennsylvania,1844,D,0,James Polk,D,1,0,0
Rhode Island,1844,O,0,James Polk,D,0,1,0
South Carolina,1844,D,0,James Polk,D,1,0,0
South Dakota,1844,,0,James Polk,D,0,0,0
Tennessee,1844,O,0,James Polk,D,0,1,0
Texas,1844,,0,James Polk,D,0,0,0
Utah,1844,,0,James Polk,D,0,0,0
Vermont,1844,O,0,James Polk,D,0,1,0
Virginia,1844,D,0,James Polk,D,1,0,0
Washington,1844,,0,James Polk,D,0,0,0
West Virginia,1844,,0,James Polk,D,0,0,0
Wisconsin,1844,,0,James Polk,D,0,0,0
Wyoming,1844,,0,James Polk,D,0,0,0
Alabama,1848,D,0,Zachary Taylor,O,1,0,0
Alaska,1848,,0,Zachary Taylor,O,0,0,0
Arizona,1848,,0,Zachary Taylor,O,0,0,0
Arkansas,1848,D,0,Zachary Taylor,O,1,0,0
California,1848,,0,Zachary Taylor,O,0,0,0
Colorado,1848,,0,Zachary Taylor,O,0,0,0
Connecticut,1848,O,0,Zachary Taylor,O,0,1,0
D.C.,1848,,0,Zachary Taylor,O,0,0,0
Delaware,1848,O,0,Zachary Taylor,O,0,1,0
Florida,1848,O,0,Zachary Taylor,O,0,1,0
Georgia,1848,O,0,Zachary Taylor,O,0,1,0
Hawaii,1848,,0,Zachary Taylor,O,0,0,0
Idaho,1848,,0,Zachary Taylor,O,0,0,0
Illinois,1848,D,0,Zachary Taylor,O,1,0,0
Indiana,1848,D,0,Zachary Taylor,O,1,0,0
Iowa,1848,D,0,Zachary Taylor,O,1,0,0
Kansas,1848,,0,Zachary Taylor,O,0,0,0
Kentucky,1848,O,0,Zachary Taylor,O,0,1,0
Louisiana,1848,O,0,Zachary Taylor,O,0,1,0
Maine,1848,D,0,Zachary Taylor,O,1,0,0
Maryland,1848,O,0,Zachary Taylor,O,0,1,0
Massachusetts,1848,O,0,Zachary Taylor,O,0,1,0
Michigan,1848,D,0,Zachary Taylor,O,1,0,0
Minnesota,1848,,0,Zachary Taylor,O,0,0,0
Mississippi,1848,D,0,Zachary Taylor,O,1,0,0
Missouri,1848,D,0,Zachary Taylor,O,1,0,0
Montana,1848,,0,Zachary Taylor,O,0,0,0
Nebraska,1848,,0,Zachary Taylor,O,0,0,0
Nevada,1848,,0,Zachary Taylor,O,0,0,0
New Hampshire,1848,D,0,Zachary Taylor,O,1,0,0
New Jersey,1848,O,0,Zachary Taylor,O,0,1,0
New Mexico,1848,,0,Zachary Taylor,O,0,0,0
New York,1848,O,0,Zachary Taylor,O,0,1,0
North Carolina,1848,O,0,Zachary Taylor,O,0,1,0
North Dakota,1848,,0,Zachary Taylor,O,0,0,0
Ohio,1848,D,0,Zachary Taylor,O,1,0,0
Oklahoma,1848,,0,Zachary Taylor,O,0,0,0
Oregon,1848,,0,Zachary Taylor,O,0,0,0
Pennsylvania,1848,O,0,Zachary Taylor,O,0,1,0
Rhode Island,1848,O,0,Zachary Taylor,O,0,1,0
South Carolina,1848,D,0,Zachary Taylor,O,1,0,0
South Dakota,1848,,0,Zachary Taylor,O,0,0,0
Tennessee,1848,O,0,Zachary Taylor,O,0,1,0
Texas,1848,D,0,Zachary Taylor,O,1,0,0
Utah,1848,,0,Zachary Taylor,O,0,0,0
Vermont,1848,O,0,Zachary Taylor,O,0,1,0
Virginia,1848,D,0,Zachary Taylor,O,1,0,0
Washington,1848,,0,Zachary Taylor,O,0,0,0
West Virginia,1848,,0,Zachary Taylor,O,0,0,0
Wisconsin,1848,D,0,Zachary Taylor,O,1,0,0
Wyoming,1848,,0,Zachary Taylor,O,0,0,0
Alabama,1852,D,0,Franklin Pierce,D,1,0,0
Alaska,1852,,0,Franklin Pierce,D,0,0,0
Arizona,1852,,0,Franklin Pierce,D,0,0,0
Arkansas,1852,D,0,Franklin Pierce,D,1,0,0
California,1852,D,0,Franklin Pierce,D,1,0,0
Colorado,1852,,0,Franklin Pierce,D,0,0,0
Connecticut,1852,D,0,Franklin Pierce,D,1,0,0
D.C.,1852,,0,Franklin Pierce,D,0,0,0
Delaware,1852,D,0,Franklin Pierce,D,1,0,0
Florida,1852,D,0,Franklin Pierce,D,1,0,0
Georgia,1852,D,0,Franklin Pierce,D,1,0,0
Hawaii,1852,,0,Franklin Pierce,D,0,0,0
Idaho,1852,,0,Franklin Pierce,D,0,0,0
Illinois,1852,D,0,Franklin Pierce,D,1,0,0
Indiana,1852,D,0,Franklin Pierce,D,1,0,0
Iowa,1852,D,0,Franklin Pierce,D,1,0,0
Kansas,1852,,0,Franklin Pierce,D,0,0,0
Kentucky,1852,O,0,Franklin Pierce,D,0,1,0
Louisiana,1852,D,0,Franklin Pierce,D,1,0,0
Maine,1852,D,0,Franklin Pierce,D,1,0,0
Maryland,1852,D,0,Franklin Pierce,D,1,0,0
Massachusetts,1852,O,0,Franklin Pierce,D,0,1,0
Michigan,1852,D,0,Franklin Pierce,D,1,0,0
Minnesota,1852,,0,Franklin Pierce,D,0,0,0
Mississippi,1852,D,0,Franklin Pierce,D,1,0,0
Missouri,1852,D,0,Franklin Pierce,D,1,0,0
Montana,1852,,0,Franklin Pierce,D,0,0,0
Nebraska,1852,,0,Franklin Pierce,D,0,0,0
Nevada,1852,,0,Franklin Pierce,D,0,0,0
New Hampshire,1852,D,0,Franklin Pierce,D,1,0,0
New Jersey,1852,D,0,Franklin Pierce,D,1,0,0
New Mexico,1852,,0,Franklin Pierce,D,0,0,0
New York,1852,D,0,Franklin Pierce,D,1,0,0
North Carolina,1852,D,0,Franklin Pierce,D,1,0,0
North Dakota,1852,,0,Franklin Pierce,D,0,0,0
Ohio,1852,D,0,Franklin Pierce,D,1,0,0
Oklahoma,1852,,0,Franklin Pierce,D,0,0,0
Oregon,1852,,0,Franklin Pierce,D,0,0,0
Pennsylvania,1852,D,0,Franklin Pierce,D,1,0,0
Rhode Island,1852,D,0,Franklin Pierce,D,1,0,0
South Carolina,1852,D,0,Franklin Pierce,D,1,0,0
South Dakota,1852,,0,Franklin Pierce,D,0,0,0
Tennessee,1852,O,0,Franklin Pierce,D,0,1,0
Texas,1852,D,0,Franklin Pierce,D,1,0,0
Utah,1852,,0,Franklin Pierce,D,0,0,0
Vermont,1852,O,0,Franklin Pierce,D,0,1,0
Virginia,1852,D,0,Franklin Pierce,D,1,0,0
Washington,1852,,0,Franklin Pierce,D,0,0,0
West Virginia,1852,,0,Franklin Pierce,D,0,0,0
Wisconsin,1852,D,0,Franklin Pierce,D,1,0,0
Wyoming,1852,,0,Franklin Pierce,D,0,0,0
Alabama,1856,D,0,James Buchanan,D,1,0,0
Alaska,1856,,0,James Buchanan,D,0,0,0
Arizona,1856,,0,James Buchanan,D,0,0,0
Arkansas,1856,D,0,James Buchanan,D,1,0,0
California,1856,D,0,James Buchanan,D,1,0,0
Colorado,1856,,0,James Buchanan,D,0,0,0
Connecticut,1856,R,1,James Buchanan,D,0,0,1
D.C.,1856,,0,James Buchanan,D,0,0,0
Delaware,1856,D,0,James Buchanan,D,1,0,0
Florida,1856,D,0,James Buchanan,D,1,0,0
Georgia,1856,D,0,James Buchanan,D,1,0,0
Hawaii,1856,,0,James Buchanan,D,0,0,0
Idaho,1856,,0,James Buchanan,D,0,0,0
Illinois,1856,D,0,James Buchanan,D,1,0,0
Indiana,1856,D,0,James Buchanan,D,1,0,0
Iowa,1856,R,1,James Buchanan,D,0,0,1
Kansas,1856,,0,James Buchanan,D,0,0,0
Kentucky,1856,D,0,James Buchanan,D,1,0,0
Louisiana,1856,D,0,James Buchanan,D,1,0,0
Maine,1856,R,1,James Buchanan,D,0,0,1
Maryland,1856,O,0,James Buchanan,D,0,1,0
Massachusetts,1856,R,0,James Buchanan,D,0,0,1
Michigan,1856,R,1,James Buchanan,D,0,0,1
Minnesota,1856,,0,James Buchanan,D,0,0,0
Mississippi,1856,D,0,James Buchanan,D,1,0,0
Missouri,1856,D,0,James Buchanan,D,1,0,0
Montana,1856,,0,James Buchanan,D,0,0,0
Nebraska,1856,,0,James Buchanan,D,0,0,0
Nevada,1856,,0,James Buchanan,D,0,0,0
New Hampshire,1856,R,1,James Buchanan,D,0,0,1
New Jersey,1856,D,0,James Buchanan,D,1,0,0
New Mexico,1856,,0,James Buchanan,D,0,0,0
New York,1856,R,1,James Buchanan,D,0,0,1
North Carolina,1856,D,0,James Buchanan,D,1,0,0
North Dakota,1856,,0,James Buchanan,D,0,0,0
Ohio,1856,R,1,James Buchanan,D,0,0,1
Oklahoma,1856,,0,James Buchanan,D,0,0,0
Oregon,1856,,0,James Buchanan,D,0,0,0
Pennsylvania,1856,D,0,James Buchanan,D,1,0,0
Rhode Island,1856,R,1,James Buchanan,D,0,0,1
South Carolina,1856,D,0,James Buchanan,D,1,0,0
South Dakota,1856,,0,James Buchanan,D,0,0,0
Tennessee,1856,D,0,James Buchanan,D,1,0,0
Texas,1856,D,0,James Buchanan,D,1,0,0
Utah,1856,,0,James Buchanan,D,0,0,0
Vermont,1856,R,0,James Buchanan,D,0,0,1
Virginia,1856,D,0,James Buchanan,D,1,0,0
Washington,1856,,0,James Buchanan,D,0,0,0
West Virginia,1856,,0,James Buchanan,D,0,0,0
Wisconsin,1856,R,1,James Buchanan,D,0,0,1
Wyoming,1856,,0,James Buchanan,D,0,0,0
Alabama,1860,D,0,Abraham Lincoln,R,1,0,0
Alaska,1860,,0,Abraham Lincoln,R,0,0,0
Arizona,1860,,0,Abraham Lincoln,R,0,0,0
Arkansas,1860,D,0,Abraham Lincoln,R,1,0,0
California,1860,R,1,Abraham Lincoln,R,0,0,1
Colorado,1860,,0,Abraham Lincoln,R,0,0,0
Connecticut,1860,R,0,Abraham Lincoln,R,0,0,1
D.C.,1860,,0,Abraham Lincoln,R,0,0,0
Delaware,1860,D,0,Abraham Lincoln,R,1,0,0
Florida,1860,D,0,Abraham Lincoln,R,1,0,0
Georgia,1860,D,0,Abraham Lincoln,R,1,0,0
Hawaii,1860,,0,Abraham Lincoln,R,0,0,0
Idaho,1860,,0,Abraham Lincoln,R,0,0,0
Illinois,1860,R,1,Abraham Lincoln,R,0,0,1
Indiana,1860,R,1,Abraham Lincoln,R,0,0,1
Iowa,1860,R,0,Abraham Lincoln,R,0,0,1
Kansas,1860,,0,Abraham Lincoln,R,0,0,0
Kentucky,1860,O,0,Abraham Lincoln,R,0,1,0
Louisiana,1860,D,0,Abraham Lincoln,R,1,0,0
Maine,1860,R,0,Abraham Lincoln,R,0,0,1
Maryland,1860,D,0,Abraham Lincoln,R,1,0,0
Massachusetts,1860,R,0,Abraham Lincoln,R,0,0,1
Michigan,1860,R,0,Abraham Lincoln,R,0,0,1
Minnesota,1860,R,0,Abraham Lincoln,R,0,0,1
Mississippi,1860,D,0,Abraham Lincoln,R,1,0,0
Missouri,1860,D,0,Abraham Lincoln,R,1,0,0
Montana,1860,,0,Abraham Lincoln,R,0,0,0
Nebraska,1860,,0,Abraham Lincoln,R,0,0,0
Nevada,1860,,0,Abraham Lincoln,R,0,0,0
New Hampshire,1860,R,0,Abraham Lincoln,R,0,0,1
New Jersey,1860,R,1,Abraham Lincoln,R,0,0,1
New Mexico,1860,,0,Abraham Lincoln,R,0,0,0
New York,1860,R,0,Abraham Lincoln,R,0,0,1
North Carolina,1860,D,0,Abraham Lincoln,R,1,0,0
North Dakota,1860,,0,Abraham Lincoln,R,0,0,0
Ohio,1860,R,0,Abraham Lincoln,R,0,0,1
Oklahoma,1860,,0,Abraham Lincoln,R,0,0,0
Oregon,1860,R,0,Abraham Lincoln,R,0,0,1
Pennsylvania,1860,R,1,Abraham Lincoln,R,0,0,1
Rhode Island,1860,R,0,Abraham Lincoln,R,0,0,1
South Carolina,1860,D,0,Abraham Lincoln,R,1,0,0
South Dakota,1860,,0,Abraham Lincoln,R,0,0,0
Tennessee,1860,O,0,Abraham Lincoln,R,0,1,0
Texas,1860,D,0,Abraham Lincoln,R,1,0,0
Utah,1860,,0,Abraham Lincoln,R,0,0,0
Vermont,1860,R,0,Abraham Lincoln,R,0,0,1
Virginia,1860,O,0,Abraham Lincoln,R,0,1,0
Washington,1860,,0,Abraham Lincoln,R,0,0,0
West Virginia,1860,,0,Abraham Lincoln,R,0,0,0
Wisconsin,1860,R,0,Abraham Lincoln,R,0,0,1
Wyoming,1860,,0,Abraham Lincoln,R,0,0,0
Alabama,1864,,0,Abraham Lincoln,R,0,0,0
Alaska,1864,,0,Abraham Lincoln,R,0,0,0
Arizona,1864,,0,Abraham Lincoln,R,0,0,0
Arkansas,1864,,0,Abraham Lincoln,R,0,0,0
California,1864,R,0,Abraham Lincoln,R,0,0,1
Colorado,1864,,0,Abraham Lincoln,R,0,0,0
Connecticut,1864,R,0,Abraham Lincoln,R,0,0,1
D.C.,1864,,0,Abraham Lincoln,R,0,0,0
Delaware,1864,D,0,Abraham Lincoln,R,1,0,0
Florida,1864,,0,Abraham Lincoln,R,0,0,0
Georgia,1864,,0,Abraham Lincoln,R,0,0,0
Hawaii,1864,,0,Abraham Lincoln,R,0,0,0
Idaho,1864,,0,Abraham Lincoln,R,0,0,0
Illinois,1864,R,0,Abraham Lincoln,R,0,0,1
Indiana,1864,R,0,Abraham Lincoln,R,0,0,1
Iowa,1864,R,0,Abraham Lincoln,R,0,0,1
Kansas,1864,R,0,Abraham Lincoln,R,0,0,1
Kentucky,1864,D,0,Abraham Lincoln,R,1,0,0
Louisiana,1864,R,1,Abraham Lincoln,R,0,0,1
Maine,1864,R,0,Abraham Lincoln,R,0,0,1
Maryland,1864,R,1,Abraham Lincoln,R,0,0,1
Massachusetts,1864,R,0,Abraham Lincoln,R,0,0,1
Michigan,1864,R,0,Abraham Lincoln,R,0,0,1
Minnesota,1864,R,0,Abraham Lincoln,R,0,0,1
Mississippi,1864,,0,Abraham Lincoln,R,0,0,0
Missouri,1864,R,1,Abraham Lincoln,R,0,0,1
Montana,1864,,0,Abraham Lincoln,R,0,0,0
Nebraska,1864,,0,Abraham Lincoln,R,0,0,0
Nevada,1864,R,0,Abraham Lincoln,R,0,0,1
New Hampshire,1864,R,0,Abraham Lincoln,R,0,0,1
New Jersey,1864,D,1,Abraham Lincoln,R,1,0,0
New Mexico,1864,,0,Abraham Lincoln,R,0,0,0
New York,1864,R,0,Abraham Lincoln,R,0,0,1
North Carolina,1864,,0,Abraham Lincoln,R,0,0,0
North Dakota,1864,,0,Abraham Lincoln,R,0,0,0
Ohio,1864,R,0,Abraham Lincoln,R,0,0,1
Oklahoma,1864,,0,Abraham Lincoln,R,0,0,0
Oregon,1864,R,0,Abraham Lincoln,R,0,0,1
Pennsylvania,1864,R,0,Abraham Lincoln,R,0,0,1
Rhode Island,1864,R,0,Abraham Lincoln,R,0,0,1
South Carolina,1864,,0,Abraham Lincoln,R,0,0,0
South Dakota,1864,,0,Abraham Lincoln,R,0,0,0
Tennessee,1864,R,0,Abraham Lincoln,R,0,0,1
Texas,1864,,0,Abraham Lincoln,R,0,0,0
Utah,1864,,0,Abraham Lincoln,R,0,0,0
Vermont,1864,R,0,Abraham Lincoln,R,0,0,1
Virginia,1864,,0,Abraham Lincoln,R,0,0,0
